Cinsiyet,İsim,Taşıyan Kişi Sayısı
E,Abdulhasip,15
E,Abdulhay,483
E,Abdulhaydar,24
E,Abdulilah,494
E,Abdulkadim,117
E,Abdulkadir,116.419
E,Abdulkafi,91
E,Abdulkahhar,679
E,Abdulkaim,1
E,Abdulkasım,203
E,Abdulkavi,4
E,Abdulkavi,4
E,Abdulkayyum,80
E,Abdulkeşşaf,4
E,Abdulkeşşaf,4
E,Abdulkebir,16
E,Abdulkelam,12
E,Abdulkemal,35
E,Abdulkerim,39.771
E,Abdulkudus,905
E,Abdullah,470.904
E,Abdullatif,9.301
E,Abdulmücip,6
E,Abdulmümin,189
E,Abdulmüntekim,6
E,Abdulmüslim,20
E,Abdulmecit,13.505
E,Abdulmelik,986
E,Abdulmenaf,4.942
E,Abdulmennan,320
E,Abdulmesih,173
E,Abdulmetin,319
E,Abdulmevla,38
E,Abdulmuız,1
E,Abdulmuhit,5
E,Abdulmuhsin,400
E,Abdulmukit,53
E,Abdulmuksit,17
E,Abdulmuktedir,2
E,Abdulmurat,56
E,Abdulmusa,51
E,Abdulmuti,58
E,Abdulmuttalip,6.133
E,Abdulnaci,15
E,Abdulnafi,57
E,Abdulnaim,21
E,Abdulnasır,930
E,Abdulnazır,16
E,Abdulnebi,57
E,Abdulnecip,16
E,Abdulnevaf,19
E,Abdulnur,144
E,Abdulsüphan,11
E,Abdulsadık,23
E,Abdulsait,21
E,Abdulsalih,15
E,Abdulsamet,9.033
E,Abdulsebur,151
E,Abdulselam,11.426
E,Abdulsemih,104
E,Abdulsettar,516
E,Abdulseyit,15
E,Abdultahir,18
E,Abdultayyip,15
E,Abdulvacip,7
E,Abdulvacit,20
E,Abdulvahap,18.88
E,Abdulvahit,3.036
E,Abdulvakkas,6
E,Abdulvali,59
E,Abdulvaris,3
E,Abdulvasih,215
E,Abdulvasip,12
E,Abdulvedut,74
E,Abdulvekil,27
E,Abdulveli,155
E,Abdulvesah,33
E,Abdulyaşar,15
E,Abdulzahir,20
E,Abdurraşit,39
E,Abdurrafi,36
E,Abdurrahim,26.851
E,Abdurrahman,179.881
E,Abdurrahmangazi,9
E,Abdurraif,45
E,Abdurrakip,307
E,Abdurrauf,355
E,Abdurreşat,24
E,Abdurreşit,191
E,Abdurrefik,26
E,Abdurresul,56
E,Abdurrezak,13.666
E,Abey,32
E,Abiş,66
E,Abidin,34.861
E,Abik,39
E,Abit,8.903
E,Abitter,429
E,Ablak,5
E,Abo,1.141
E,Abraham,175
E,Abrek,10
E,Abuş,460
E,Abuhayat,8
E,Abulfet,44
E,Abut,685
E,Abuzer,39.261
E,Abuzittin,2
E,Acaç,20
E,Öcal,1.514
E,Öcalan,52
E,Öcalmaz,3
E,Acar,682
E,Acem,502
E,Acil,38
E,Acip,149
E,Aco,59
E,Acun,64
E,Adı,103
E,Adıbal,27
E,Adıgüzel,3.656
E,Adıyaman,26
E,Ödül,46
E,Adal,30
E,Adalet,756
E,Adalettin,52
E,Adam,233
E,Adap,11
E,Adar,17
E,Aday,33
E,Adem,199.389
E,Ademali,32
E,Ademi,12
E,Ademrıza,85
E,Adi,121
E,Adigül,53
E,Adige,3
E,Adil,75.605
E,Adilgeri,3
E,Adis,10
E,Adlan,537
E,Adler,6
E,Adli,103
E,Adnan,95.147
E,Adni,29
E,Ado,1.001
E,Adolf,6
E,Adrian,8
E,Afacan,140
E,Afak,12
E,Afşin,589
E,Afer,587
E,Afet,203
E,Afettin,87
E,Affan,520
E,Afi,97
E,Afif,589
E,Afiyet,10
E,Öfke,3
E,Afo,146
E,Afrim,15
E,Aftandil,1
E,Agah,2.871
E,Agahi,12
E,Öge,34
E,Agim,71
E,Agit,4.12
E,Ago,53
E,Agop,1.349
E,Agron,3
E,Aguş,477
E,Ahanger,6
E,Ahat,765
E,Ahbap,4
E,Ahbap,4
E,Ahen,28
E,Ahi,62
E,Ahilea,4
E,Ahilea,4
E,Ahin,30
E,Ahit,21
E,Ahmedi,454
E,Ahmedullah,13
E,Ahmer,10
E,Ahmet,1.917.518 
E,Ahmetali,843
E,Ahmetşah,29
E,Ahmetduran,39
E,Ahmetemin,18
E,Ahmethamdi,13
E,Ahmettin,42
E,Ahmetturan,58
E,Ahmi,301
E,Ahmo,254
E,Aho,274
E,Ahrar,15
E,Ahraz,27
E,Ahron,18
E,Ahsen,415
E,Ahter,25
E,Ahtiman,23
E,Ahya,372
E,Ahyar,5
E,Ait,213
E,Ajantürk,1
E,Ajlan,429
E,Ajnan,43
E,Aka,46
E,Akış,22
E,Akıllı,7
E,Akın,19.912
E,Akıncı,31
E,Akça,135
E,Akçakoca,1
E,Akçay,36
E,Akçora,23
E,Akağa,13
E,Akagündüz,60
E,Akal,15
E,Akalın,6
E,Akan,1.416
E,Akanay,9
E,Akansel,28
E,Akansu,11
E,Akar,245
E,Akat,20
E,Akay,888
E,Akaydın,8
E,Akşemsettin,32
E,Akşin,10
E,Akşit,84
E,Akbaş,38
E,Akbaba,106
E,Akbal,15
E,Akbay,26
E,Akbey,149
E,Akbulut,54
E,Akcan,88
E,Akdağ,21
E,Akdem,55
E,Akdemir,45
E,Akdeniz,33
E,Akdevrim,1
E,Akdoğan,215
E,Aker,39
E,Akgül,385
E,Akgün,979
E,Akhan,66
E,Akhun,6
E,Akif,51.954
E,Akil,1.877
E,Akim,34
E,Akip,37
E,Akit,190
E,Akkaş,19
E,Akkan,53
E,Akkaya,17
E,Ökkeş,33.214
E,Akkoç,23
E,Akkuzu,15
E,Akman,408
E,Akmehmet,21
E,Ökmen,62
E,Ako,104
E,Akoğlan,12
E,Akpaşa,5
E,Akreme,100
E,Öksüz,15
E,Aksakal,1
E,Aksan,15
E,Aksavaş,1
E,Aksay,8
E,Akseki,2
E,Aksel,289
E,Öksel,12
E,Aksel2,0
E,Aksen,60
E,Aksoy,111
E,Aksu,59
E,Aksun,36
E,Aksungur,5
E,Aktürk,16
E,Aktaş,90
E,Aktan,349
E,Aktay,29
E,Aktekin,12
E,Aktem,15
E,Öktem,266
E,Akten,12
E,Aktolga,8
E,Aktolon,6
E,Aktuğ,94
E,Akyol,12
E,Alçay,9
E,Alaattin,87.309
E,Alaş,5
E,Alamet,14
E,Alamettin,896
E,Alan,75
E,Alay,1.644
E,Alaybey,689
E,Alaydın,21
E,Alayi,79
E,Alaylı,18
E,Alaz,22
E,Albay,92
E,Albayrak,6
E,Albek,5
E,Albert,592
E,Albuz,159
E,Aldemir,148
E,Aldin,6
E,Aldo,20
E,Aldoğan,82
E,Aldonat,11
E,Aleko,16
E,Aleks,163
E,Alem,171
E,Alemşah,8
E,Alemdar,461
E,Alemin,52
E,Alen,233
E,Alev,486
E,Alexander,185
E,Alfonso,11
E,Alfred,45
E,Algın,33
E,Algan,60
E,Alhas,580
E,Ali,2.445.965 
E,Aliabbas,139
E,Aliasker,813
E,Aliaslan,21
E,Aliş,1.626
E,Alişükrü,8
E,Alişah,236
E,Alişahin,24
E,Alişakir,15
E,Alişan,7.372
E,Alişir,542
E,Alibaba,182
E,Alibayram,24
E,Alibaz,368
E,Alibeke,146
E,Alibekir,16
E,Alibey,2.087
E,Alibi,14
E,Alibinat,42
E,Alican,8.631
E,Alice,45
E,Alicem,29
E,Alicemal,18
E,Alicenap,4
E,Alicenap,4
E,Alicengiz,23
E,Alicihan,13
E,Alidede,75
E,Aliderman,10
E,Alidoğan,27
E,Aliduran,15
E,Alidursun,44
E,Alieşref,96
E,Aliekber,1.796
E,Alifaik,28
E,Alifer,39
E,Alifuat,140
E,Aligül,267
E,Aligalip,60
E,Alihıdır,90
E,Alihüseyin,18
E,Alihan,3.384
E,Alihaydar,803
E,Aliihsan,1.315
E,Alik,116
E,Alikadir,16
E,Alikan,113
E,Alikaya,44
E,Alikemal,321
E,Aliko,142
E,Alikoç,27
E,Aliksan,225
E,Alikulu,38
E,Alikuzu,46
E,Alim,14.179
E,Aliman,367
E,Alimcan,35
E,Alimedet,18
E,Alimehmet,56
E,Alimerdan,108
E,Alimirze,10
E,Alimurat,100
E,Alimusa,18
E,Alinaci,64
E,Alinaz,150
E,Alinihat,39
E,Alinur,21
E,Aliosman,3.617
E,Alipaşa,883
E,Alirıza,12.775
E,Aliresul,14
E,Alisait,111
E,Aliseydi,3.719
E,Alistan,30
E,Alisultan,156
E,Aliveli,9
E,Aliyaşar,85
E,Aliyar,993
E,Aliyyülmürteza,54
E,Alizar,40
E,Aliziver,27
E,Alkım,123
E,Alkın,278
E,Alkame,9
E,Alkan,2.352
E,Alkapon,1
E,Alkay,14
E,Allah,23
E,Allahkulu,31
E,Allahnazar,13
E,Allahverdi,2.624
E,Allahyar,141
E,Allavi,88
E,Ölmez,27
E,Alo,2.315
E,Alp,6.047
E,Alpagut,77
E,Alpaslan,13.95
E,Alpay,4.433
E,Alpdoğan,56
E,Alper,27.316
E,Alperen,1.342
E,Alpgiray,42
E,Alphan,434
E,Alpin,45
E,Alptekin,1.212
E,Alptimuçin,9
E,Alptuğ,350
E,Altın,672
E,Altınay,203
E,Altıncı,5
E,Altıntaş,23
E,Altıntop,25
E,Altıok,31
E,Altıparmak,9
E,Altan,8.805
E,Altar,75
E,Altay,1.405
E,Altuğ,1.972
E,Altunç,9
E,Alyanak,2
E,Ömür,8.61
E,Ömürden,34
E,Ömürlü,264
E,Amaç,96
E,Aman,36
E,Amanullah,152
E,Amasya,2
E,Amed,11
E,Ömer,573.469
E,Ömerülfaruk,231
E,Ömerali,417
E,Ömeriddin,41
E,Ömerlutfi,16
E,Ömero,41
E,Ami,175
E,Amiş,141
E,Amik,28
E,Amil,1.101
E,Amin,39
E,Amir,1.044
E,Amiral,17
E,Amit,10
E,Ammar,278
E,Amo,650
E,Ömrü,100
E,Ömral,272
E,Amram,2
E,Anıl,8.875
E,Anıt,12
E,Önür,14
E,Anadolu,8
E,Anafarta,5
E,Önal,1.331
E,Ananya,4
E,Ananya,4
E,Anargiros,1
E,Anastas,42
E,Anatoli,3
E,Önay,298
E,Anber,117
E,Öncü,271
E,Öncül,40
E,Öncay,73
E,Öncel,268
E,Öncer,31
E,Andaç,443
E,Anday,16
E,Andeli,44
E,Andelip,14
E,Önder,31.954
E,Andon,98
E,Andre,146
E,Önel,105
E,Önem,64
E,Önen,30
E,Öner,7.033
E,Anesti,17
E,Öngün,10
E,Öngel,12
E,Angeli,23
E,Önger,6
E,Anibal,34
E,Ankari,22
E,Ankebut,1
E,Annekulu,1
E,Önsel,77
E,Ant,121
E,Öntürk,15
E,Anter,356
E,Anthimos,2
E,Anto,39
E,Antranik,260
E,Antuvan,236
E,Önver,19
E,Üçer,16
E,Üçler,1.043
E,Übeyde,131
E,Übeydullah,2.564
E,Übeyit,4.675
E,Ücret,13
E,Ülber,6
E,Ülfet,2.094
E,Ülfettin,187
E,Ülgür,8
E,Ülgen,296
E,Ülkü,2.313
E,Ülkümen,13
E,Ülkün,28
E,Ülke,29
E,Ülkem,34
E,Ülker,625
E,Ülman,12
E,Ülvan,82
E,Ümeyir,30
E,Ümit,78.04
E,Ümmü,17
E,Ümmet,7.806
E,Ümran,2.707
E,Ünüvar,11
E,Ünal,39.788
E,Ünalan,11
E,Ünaldı,11
E,Ünay,90
E,Ünaydın,11
E,Ünder,25
E,Üner,468
E,Üngör,19
E,Ünlü,119
E,Ünlüer,9
E,Ünsal,6.436
E,Ünvan,38
E,Ünver,1.256
E,Ürüşan,376
E,Ürün,29
E,Üresin,25
E,Ürfet,813
E,Ürgüp,30
E,Ürkmez,10
E,Üryan,360
E,Üsük,260
E,Üsame,394
E,Üseyd,15
E,Üsküdar,77
E,Üstükar,9
E,Üstün,1.817
E,Üstüner,83
E,Üster,10
E,Üveys,343
E,Üzel,40
E,Üzeyir,23.789
E,Üzgün,9
E,Apak,14
E,Apaydın,75
E,Apel,8
E,Apik,27
E,Apil,671
E,Apisoğom,3
E,Apkar,14
E,Apo,101
E,Apostol,28
E,Ara,205
E,Arı,23
E,Arık,42
E,Arıkan,237
E,Arıl,7
E,Arın,74
E,Arınç,51
E,Arçil,3
E,Araç,5
E,Araf,2
E,Arafat,3.373
E,Arafettin,54
E,Arakil,128
E,Araks,3
E,Aral,165
E,Aram,396
E,Aram2,0
E,Aramazt,2
E,Aran,44
E,Arap,9.686
E,Arapali,56
E,Arapşıh,6
E,Ararat,56
E,Aras,595
E,Arat,22
E,Arayış,3
E,Arşak,129
E,Arşam,17
E,Arşavir,39
E,Arşimet,2
E,Arben,8
E,Arca,33
E,Arcan,165
E,Arda,4.433
E,Ardıç,18
E,Ardıl,22
E,Ardaş,96
E,Ardaşes,65
E,Ardahan,172
E,Ardavast,19
E,Arden,36
E,Aref,7
E,Arefe,257
E,Arek,46
E,Arel,28
E,Aren,54
E,Ares,5
E,Aret,288
E,Arev,6
E,Arfo,29
E,Örgün,24
E,Argir,18
E,Argun,521
E,Ari,177
E,Ariel,10
E,Arif,174.033
E,Arifullah,5
E,Aris,89
E,Aristi,16
E,Arjen,17
E,Arkın,645
E,Arkadaş,32
E,Arkan,210
E,Arkimidis,1
E,Arlen,8
E,Armağan,3.202
E,Arman,1.138
E,Arman2,6
E,Armayis,2
E,Armen,67
E,Armenak,209
E,Arnavut,8
E,Örnek,6
E,Arno,24
E,Aron,163
E,Arpat,11
E,Örpen,38
E,Arpiyar,8
E,Arsal,39
E,Örsan,129
E,Arsen,122
E,Arsen2,0
E,Arseven,23
E,Arslan,57.994
E,Arslanali,68
E,Arslanbey,94
E,Arslangeri,23
E,Arslanpaşa,67
E,Arslantürk,7
E,Arslantekin,7
E,Arsoy,18
E,Arsun,34
E,Artür,97
E,Artaki,26
E,Artan,80
E,Artemiz,36
E,Artin,972
E,Arto,99
E,Artuğ,65
E,Artuk,12
E,Artun,255
E,Artunç,40
E,Artvin,6
E,Arzif,6
E,Arzruni,4
E,Arzruni,4
E,Arzu,58
E,Arzuman,257
E,Asıf,740
E,Asım,43.243
E,Asır,29
E,Asadur,80
E,Asaf,5.271
E,Asal,13
E,Asan,36
E,Asena,9
E,Asil,1.264
E,Asilkan,23
E,Asiltürk,15
E,Asir,12
E,Asistan,11
E,Asker,7.475
E,Askeri,2.827
E,Aslıbey,25
E,Asri,246
E,Asteğmen,1
E,Asuman,249
E,Asutay,27
E,Ata,8.304
E,Atış,10
E,Atıf,5.956
E,Atıl,1.337
E,Atılım,180
E,Atılgan,371
E,Atınç,311
E,Ötüken,12
E,Ataç,92
E,Ataöver,9
E,Atağ,13
E,Ataş,71
E,Atabey,507
E,Atacıl,6
E,Atacan,598
E,Atadan,30
E,Ataer,22
E,Ataettin,15
E,Atagün,93
E,Atahan,381
E,Atak,80
E,Atakan,6.572
E,Atalar,23
E,Atalay,5.233
E,Atam,74
E,Ataman,1.162
E,Atamer,225
E,Atamtürk,10
E,Atan,57
E,Atanaş,84
E,Ataner,111
E,Atanur,1.425
E,Ataoğlu,7
E,Ataol,31
E,Atasagun,8
E,Atasan,6
E,Atasay,58
E,Ataseven,69
E,Atasoy,168
E,Atatekin,6
E,Ataullah,712
E,Atay,1.095
E,Öte,6
E,Ateş,1.179
E,Ati,42
E,Atik,1.587
E,Atilla,44.211
E,Atiye,188
E,Atlıhan,130
E,Atlan,279
E,Atlantik,4
E,Atlantik,4
E,Atlas,16
E,Atmaca,82
E,Atman,684
E,Atom,36
E,Atsız,36
E,Attab,15
E,Attar,164
E,Atto,155
E,August,8
E,Aurel,6
E,Övül,30
E,Övünç,351
E,Avadis,425
E,Avak,29
E,Avamil,11
E,Avani,283
E,Avar,12
E,Avat,598
E,Avşalom,2
E,Avşar,813
E,Avaz,89
E,Avcı,124
E,Avdel,183
E,Avdi,211
E,Över,22
E,Övgü,31
E,Övgün,12
E,Avi,31
E,Aviger,4
E,Aviger,4
E,Avnürrefik,8
E,Avni,33.689
E,Avram,784
E,Avzi,55
E,Ay,100
E,Ayık,14
E,Ayıp,86
E,Ayçetin,32
E,Ayçin,38
E,Ayan,319
E,Ayar,46
E,Ayata,6
E,Ayşat,27
E,Ayaydın,10
E,Ayşe,27
E,Ayaz,342
E,Aybaba,12
E,Aybar,191
E,Aybars,601
E,Aybek,132
E,Ayberk,619
E,Aycan,1.812
E,Aydın,105.807
E,Aydıner,178
E,Aydan,355
E,Aydanur,12
E,Aydar,53
E,Aydemir,3.596
E,Aydeniz,137
E,Aydi,10
E,Aydil,52
E,Aydilek,14
E,Aydinç,31
E,Aydoğan,4.945
E,Aydoğdu,197
E,Aydoğmuş,26
E,Aydok,78
E,Aydos,16
E,Ayer,21
E,Ayet,584
E,Ayettin,31
E,Ayetullah,1.188
E,Ayfer,289
E,Ayfettin,93
E,Aygör,80
E,Aygül,60
E,Aygün,1.614
E,Aygen,131
E,Ayhan,113.646
E,Ayk,28
E,Aykın,67
E,Öykü,46
E,Öykün,4
E,Aykal,24
E,Aykan,1.34
E,Aykar,18
E,Aykul,26
E,Aykun,53
E,Aykun2,0
E,Aykut,21.469
E,Aylan,22
E,Aylin,31
E,Aynalı,52
E,Ayni,50
E,Aynullah,119
E,Aynur,571
E,Ayper,56
E,Aysan,136
E,Aysun,241
E,Aytümen,12
E,Aytürk,77
E,Aytaç,9.428
E,Aytan,142
E,Aytek,504
E,Aytekin,13.745
E,Aytemiz,14
E,Aytolon,24
E,Aytuğ,847
E,Aytun,485
E,Aytuna,18
E,Aytunç,533
E,Aytur,77
E,Ayturan,89
E,Ayvaz,4.472
E,Ayyıldız,11
E,Öz,134
E,Şıh/Şeyh,12.129
E,Şıhı,376
E,Şıhömer,86
E,Şıhahmet,88
E,Şıhbekir,17
E,Şıhca,46
E,Şıhdede,17
E,Şıhduran,30
E,Şıhey,72
E,Şıheyüp,9
E,Şıhhasan,59
E,Şıhimam,25
E,Şıhis,99
E,Şıhlı,1.059
E,Şıhmüslüm,2.155
E,Şıhman,89
E,Şıhmehmet,2.13
E,Şıhsait,14
E,Şık,175
E,Şırnak,6
E,Özçelik,83
E,Özçetin,26
E,Şöhret,118
E,Şöhrettin,220
E,Şölen,22
E,Özü,14
E,Şüheda,32
E,Şüheyip,7
E,Şükür,1.565
E,Şükrü,222.686
E,Şükrükaya,8
E,Şükrüllah,393
E,Şükran,281
E,Şükret,192
E,Şükrettin,369
E,Özüm,38
E,Şaşkın,9
E,Şabadin,12
E,Şaban,174.418
E,Şabanali,177
E,Şabet,46
E,Şabi,128
E,Şabo,590
E,Şabo2,0
E,Şabuh,12
E,Şadan,2.425
E,Şadem,72
E,Şadet,104
E,Şadettin,157
E,Azadi,25
E,Şadi,7.228
E,Şaduman,441
E,Şafak,7.7
E,Şafi,1.16
E,Şafii,244
E,Şah,8.591
E,Şahabbas,64
E,Şahabet,33
E,Şahabettin,12.756
E,Şahadettin,212
E,Şahali,686
E,Şahamettin,2.977
E,Şahan,1.849
E,Şahap,3.825
E,Şahat,59
E,Şahattin,774
E,Şahbaba,4
E,Şahbaz,1.041
E,Şahbender,1.338
E,Şahbey,31
E,Şahbudak,13
E,Şaheser,16
