Cinsiyet,İsim,Taşıyan Kişi Sayısı
K,Şahzene,1.551
K,Şaile,2.198
K,Şaire,69
K,Şakayık,3
K,Şakşak,6
K,Şake,202
K,Şakire,16.511
K,Şakiye,249
K,Şale,86
K,Özaltın,98
K,Şamazet,165
K,Şamdan,69
K,Azamet,533
K,Şamile,1.146
K,Şamiye,2.005
K,Şamizer,270
K,Şamme,130
K,Şamo,55
K,Şan,79
K,Özana,19
K,Şana,13
K,Şansel,149
K,Şanser,86
K,Şansiye,34
K,Şarey,870
K,Şari,1.931
K,Şarika,181
K,Şarkiye,114
K,Şasine,257
K,Şaver,1.785
K,Özay,2.081
K,Şaya,61
K,Şayan,1.012
K,Şayegan,87
K,Özşen,34
K,Şayeste,6.132
K,Şaynaz,117
K,Şazile,202
K,Şaziment,11.564
K,Şaziver,516
K,Şaziye,86.62
K,Özben,224
K,Azbiye,831
K,Özcan,5.805
K,Özdal,102
K,Özde,299
K,Özdek,10
K,Özdel,9
K,Özdem,870
K,Özdemir,47
K,Özden,12.856
K,Özder,59
K,Özdil,65
K,Özdilek,107
K,Aze,21
K,Şebboy,324
K,Şebgül,26
K,Şebibe,36
K,Şebnem,8.687
K,Şebnur,24
K,Şebo,38
K,Şedide,102
K,Şefaat,731
K,Şefife,21
K,Şefika,88.286
K,Şefiye,3.523
K,Şefkat,1.146
K,Şefre,670
K,Şeftali,63
K,Şeftane,192
K,Şehadet,352
K,Şehbal,397
K,Şehem,1.145
K,Şeherli,167
K,Şehide,2.991
K,Şehime,4.76
K,Şehire,284
K,Şehla,508
K,Şehlevent,70
K,Şehmal,83
K,Şehmiran,750
K,Şehnaz,17.351
K,Şehran,23
K,Şehrazat,347
K,Şehri,44.891
K,Şehriban,40.745
K,Şehrigül,137
K,Şehriman,616
K,Şehrinaz,5.43
K,Şehristan,1.066
K,Şehriyar,55
K,Şehriye,18.402
K,Şehrize,748
K,Şehro,90
K,Özek,10
K,Şeküre,4.227
K,Şeker,11.705
K,Şekernaz,6.939
K,Şekerzade,59
K,Şekha,1.022
K,Şekibe,3.041
K,Şekil,80
K,Azel,256
K,Özel,814
K,Şelale,515
K,Azem,85
K,Şemail,324
K,Şemam,2.404
K,Şemşul,510
K,Şemen,679
K,Şemi,1.04
K,Azemine,200
K,Şeminur,435
K,Şemme,573
K,Şemsünnisa,7
K,Şemse,16.643
K,Şemsi,45.584
K,Şemsiban,415
K,Şemsicihan,19
K,Şemsifelek,14
